token,Happiness Score
just,5.54
wait,4.84
until,5.32
la,5.3
australia,6.76
beat,
india,6.1
by,5.28
six,
wickets,
in,5.76
first,6.92
women,
s,5.02
cricket,
one,5.8
day,6.48
international,7.08
as,5.2
it,5.46
happened,
us,5.94
basketball,
player,6.82
jarred,
shaw,
escaped,
execution,
in,5.76
indonesia,5.86
but,4.66
his,5.32
prison,
ordeal,
continues,
winter,
olympics,
must,5.26
tackle,
environmental,
impact,
before,5.16
the,5.2
snow,
runs,
out,4.12
george,5.5
timms,
resilience,
is,5.34
the,5.2
biggest,6.5
lesson,
emma,
raducanu,
is,5.34
ready,6.52
for,5.32
revival,
after,5.4
setbacks,
landmark,
moment,5.88
emma,
lawrence,
to,4.84
become,
first,6.92
woman,7.48
to,4.84
call,5.8
nrl,
games,7.34
constitution,
hill,
s,5.02
win,7.6
at,4.9
southwell,
showed,
the,5.2
way,5.72
to,4.84
a,5.26
brighter,
future,
for,5.32
racing,6.5
floyd,
mayweather,
and,5.4
manny,
pacquiao,
to,4.84
fight,
in,5.76
september,6.18
rematch,
on,6.1
netflix,
the,5.2
us,5.94
moved,
away,4.46
from,5.66
its,5.18
heartland,
to,4.84
set,5.66
a,5.26
winter,
olympics,
high,6.58
in,5.76
italy,
i,5.12
want,6.34
to,4.84
come,6.74
back,4.84
to,4.84
win,7.6
gold,7.26
banned,
ukrainian,
determined,
to,4.84
race,
for,5.32
glory,
in,5.76
helmet,
of,4.82
memory,
england,
in,5.76
sight,
of,4.82
semi,
finals,
but,4.66
face,6.88
another,5.7
trial,
by,5.28
spin,
against,
pakistan,
england,
expected,
to,4.84
field,
second,
string,
xv,6.06
against,
fiji,
due,
to,4.84
travel,7.38
schedule,
chaos,
lindsey,
vonn,
says,5.66
she,6.18
almost,5.66
had,4.78
leg,
amputated,
after,5.4
crash,
at,4.9
winter,
olympics,
farhan,
has,5.52
hundred,
hopes,
despite,
indian,
owners,
not,3.88
signing,
pakistan,
players,
highs,
lows,
and,5.4
halfpipes,
the,5.2
guardian,
s,5.02
most,6.12
memorable,
winter,
olympics,
moments,
australia,6.76
s,5.02
winter,
olympians,
ride,
waves,
of,4.82
emotion,
after,5.4
games,7.34
martin,5.72
pegan,
crampons,
crashes,
and,5.4
creativity,
tom,5.4
jenkins,
best,7.72
photos,7.34
from,5.66
the,5.2
winter,
olympics,
trump,
invites,
us,5.94
olympic,
hockey,
heroes,
to,4.84
state,
of,4.82
the,5.2
union,7.14
in,5.76
locker,
room,
call,5.8
england,
series,6.52
in,5.76
south,5.92
africa,5.96
scrapped,
due,
to,4.84
franchise,
schedule,
clash,
winter,
olympics,
briefing,
the,5.2
tooth,
fairy,
brings,
gold,7.26
as,5.2
usa,5.62
end,4.08
year,6.24
wait,4.84
mercedes,6.38
magic,
and,5.4
ferrari,
s,5.02
rapid,
starts,
what,5.16
we,5.96
learned,
from,5.66
testing,
england,
s,5.02
zombies,5.08
have,6.12
rapidly,
descended,
into,5.32
collective,
brain,
fog,
in,5.76
six,
nations,
robert,5.5
kitson,
winter,
olympics,
were,5.1
again,5.72
unrelatable,
and,5.4
useless,
and,5.4
yet,
utterly,
astounding,
to,4.84
watch,6.18
andy,
bull,
north,6.0
korea,
world,6.84
s,5.02
most,6.12
secretive,
nation,
lands,
in,5.76
spotlight,
at,4.9
women,
s,5.02
asian,
cup,
even,5.74
greater,
heights,
await,
australia,6.76
s,5.02
winter,
olympians,
after,5.4
success,
of,4.82
milano,
cortina,
games,7.34
kieran,
pender,
hockey,
s,5.02
not,3.88
hockey,
any,5.56
more,6.34
did,5.18
three,
on,6.1
three,
overtime,
ruin,
canada,7.1
s,5.02
olympics,
the,5.2
brits,
are,5.46
coming,6.12
again,5.72
team,6.4
gb,5.02
hail,
their,5.46
greatest,
ever,5.18
winter,
olympics,
winter,
olympics,
come,6.74
to,4.84
a,5.26
close,5.0
at,4.9
verona,
arena,6.5
after,5.4
norway,
top,6.44
medal,
table,
as,5.2
it,5.46
happened,
he,5.36
is,5.34
an,5.08
animal,6.7
jack,5.52
hughes,
loses,
teeth,
then,5.4
scores,
olympic,
ice,
hockey,
winner,
for,5.32
us,5.94
france,6.66
italy,
six,
nations,
rugby,
union,7.14
as,5.2
it,5.46
happened,
bielle,
biarrey,
and,5.4
france,6.66
power,6.94
past,
italy,
to,4.84
keep,6.04
six,
nations,
grand,6.16
slam,
plans,
on,6.1
track,
england,
to,4.84
conduct,
uncomfortable,
review,5.74
of,4.82
six,
nations,
defeat,
by,5.28
ireland,
lindsey,
vonn,
hits,6.48
back,4.84
at,4.9
haters,3.18
who,5.14
questioned,
her,5.86
place,6.38
at,4.9
winter,
olympics,
norway,
population,
beats,
us,5.94
to,4.84
top,6.44
winter,
olympics,
medal,
table,
winter,
olympics,
men,6.34
s,5.02
ice,
hockey,
final,5.22
usa,5.62
beat,
canada,7.1
in,5.76
overtime,
to,4.84
end,4.08
year,6.24
wait,4.84
for,5.32
gold,7.26
as,5.2
it,5.46
happened,
usa,5.62
stun,
canada,7.1
in,5.76
overtime,
to,4.84
win,7.6
first,6.92
olympic,
men,6.34
s,5.02
ice,
hockey,
gold,7.26
since,5.3
will,6.18
jacks,
stars,
for,5.32
england,
as,5.2
sri,
lanka,
flail,
with,5.94
bat,
in,5.76
world,6.84
cup,
world,6.84
cup,
super,7.26
sri,
lanka,
v,4.92
england,
as,5.2
it,5.46
happened,
china,5.68
s,5.02
eileen,
gu,
soars,
to,4.84
ski,
halfpipe,
gold,7.26
but,4.66
controversy,
surrounds,
zoe,
atkin,
s,5.02
bronze,
how,5.64
italians,
fell,
in,5.76
love,8.26
with,5.94
their,5.46
winter,
olympics,
after,5.4
gaffes,
turned,
into,5.32
gold,7.26
winter,
olympics,
briefing,
king,6.62
s,5.02
greatness,
on,6.1
show,7.26
with,5.94
sixth,
gold,7.26
the,5.2
great,7.36
olympic,
lie,3.36
untold,
story,6.74
of,4.82
winter,
games,7.34
huge,
environmental,
impact,
nfl,5.8
receiver,
rondale,
moore,
dies,
at,4.9
age,5.6
of,4.82
way,5.72
too,5.8
soon,6.26
way,5.72
too,5.8
special,6.96
australian,
aerials,
team,6.4
fall,4.56
just,5.54
short,
of,4.82
surprise,
medal,
as,5.2
indra,
brown,
s,5.02
final,5.22
delayed,
by,5.28
heavy,4.94
snow,
winter,
olympics,
canada,7.1
beat,
gb,5.02
to,4.84
curling,
gold,7.26
bobsleigh,
ice,
hockey,
and,5.4
more,6.34
as,5.2
it,5.46
happened,
heartbreak,
for,5.32
team,6.4
gb,5.02
as,5.2
canada,7.1
take,5.78
men,6.34
s,5.02
curling,
gold,7.26
on,6.1
last,4.54
stone,
wales,
v,4.92
scotland,
six,
nations,
rugby,
union,7.14
as,5.2
it,5.46
happened,
russell,
inspires,
scotland,
to,4.84
thrilling,
six,
nations,
comeback,
win,7.6
against,
wales,
borthwick,
bitterly,
disappointed,
by,5.28
latest,
six,
nations,
setback,
against,
ireland,
borthwick,
s,5.02
plans,
in,5.76
shreds,
as,5.2
ruthless,
ireland,
heap,
more,6.34
misery,
on,6.1
england,
michael,5.8
aylwin,
jorrit,
bergsma,
wins,
mass,5.7
start,6.54
to,4.84
continue,6.18
golden,
winter,
olympics,
for,5.32
somethings,
england,
ireland,
six,
nations,
player,6.82
ratings,
from,5.66
twickenham,
england,
ireland,
six,
nations,
rugby,
union,7.14
as,5.2
it,5.46
happened,
record,6.42
breaking,5.02
ireland,
humble,
woeful,
england,
in,5.76
twickenham,
demolition,
job,
brady,
tkachuk,
admits,
to,4.84
hatred,
as,5.2
us,5.94
and,5.4
canada,7.1
prepare,
for,5.32
olympic,
men,6.34
s,5.02
ice,
hockey,
final,5.22
norway,
s,5.02
seals,
historic,
sweep,
with,5.94
record,6.42
sixth,
gold,7.26
of,4.82
winter,
games,7.34
india,6.1
beat,
australia,6.76
by,5.28
runs,
in,5.76
third,
women,
s,5.02
international,7.08
as,5.2
it,5.46
happened,
rahm,
s,5.02
refusal,
to,4.84
pay,
fine,
over,4.2
liv,
golf,5.82
puts,
ryder,
cup,
future,
in,5.76
peril,
brook,
says,5.66
overlooking,
pakistan,
players,
for,5.32
the,5.2
hundred,
would,5.32
be,5.66
a,5.26
shame,
cheating,
penisgate,
and,5.4
boos,
for,5.32
vance,
the,5.2
wildest,
stories,
of,4.82
the,5.2
winter,
olympics,
england,
head,5.9
into,5.32
world,6.84
cup,
super,7.26
with,5.94
a,5.26
clean,
slate,
and,5.4
a,5.26
clear,
aim,
to,4.84
improve,
winter,
olympics,
briefing,
united,6.2
by,5.28
fiasco,
maier,
and,5.4
smith,
rise,
to,4.84
the,5.2
top,6.44
crash,
ethics,
colourful,
commentary,
and,5.4
other,5.26
questions,
from,5.66
watching,5.88
winter,
olympics,
emma,
john,5.88
constitution,
hill,
could,5.66
switch,
to,4.84
flat,
full,5.84
time,5.76
after,5.4
triumphant,
debut,
usa,5.62
and,5.4
canada,7.1
to,4.84
meet,6.3
in,5.76
olympic,
men,6.34
s,5.02
ice,
hockey,
gold,7.26
medal,
game,7.08
us,5.94
skier,
hess,
describes,
hardest,
weeks,5.6
of,4.82
my,5.98
life,7.52
after,5.4
trump,
s,5.02
real,7.0
loser,
comment,5.9
winter,
olympics,
norway,
break,5.92
own,5.6
record,6.42
for,5.32
golds,
won,
in,5.76
single,5.98
games,7.34
after,5.4
biathlon,
triumph,
as,5.2
it,5.46
happened,
england,
bet,
on,6.1
pollock,
spark,
against,
ireland,
to,4.84
reignite,
six,
nations,
charge,
winter,
olympics,
showcase,
golden,
oldies,
fourth,
place,6.38
pain,
and,5.4
sliding,
doors,
moments,
lizzy,
yarnold,
the,5.2
winter,
olympics,
finale,
six,
nations,
stardust,
and,5.4
tottenham,
v,4.92
arsenal,
follow,6.14
with,5.94
us,5.94
the,5.2
rock,7.72
history,
of,4.82
ireland,
s,5.02
stone,
lifters,
letters,
charles,
leclerc,
clocks,
quickest,
time,5.76
at,4.9
final,5.22
pre,5.34
season,
testing,
in,5.76
bahrain,
australia,6.76
thrash,
oman,
by,5.28
nine,
wickets,
in,5.76
world,6.84
cup,
cricket,
dead,2.3
rubber,
as,5.2
it,5.46
happened,
kdeux,
saint,5.8
fray,5.44
can,5.92
put,5.3
a,5.26
dent,
in,5.76
emmet,
mullins,
stellar,
kempton,
record,6.42
dewi,
lake,
calls,
on,6.1
fans,6.58
to,4.84
back,4.84
under,4.6
fire,4.46
wales,
while,5.34
italy,
eye,
another,5.7
shock,
alysa,
liu,
released,
the,5.2
pressure,
reclaimed,
her,5.86
joy,
and,5.4
turned,
it,5.46
into,5.32
olympic,
gold,7.26
bryan,
armen,
graham,
flattered,
thanks,7.56
jd,
eileen,
gu,
claps,
back,4.84
at,4.9
vance,
after,5.4
criticism,
for,5.32
representing,
china,5.68
tell,5.66
us,5.94
your,5.98
highlights,
from,5.66
the,5.2
winter,
olympic,
games,7.34
she,6.18
ll,5.22
be,5.66
cheering,
on,6.1
from,5.66
heaven,
itoje,
sad,2.66
his,5.32
late,5.6
mother,
will,6.18
not,3.88
see,6.16
him,5.46
win,7.6
cap,5.14
itoje,
s,5.02
character,
and,5.4
consistency,
shine,
through,
as,5.2
he,5.36
joins,
england,
s,5.02
club,6.44
ugo,
monye,
uk,6.12
athletics,
pleads,
guilty,
to,4.84
corporate,
manslaughter,
after,5.4
death,1.82
of,4.82
paralympian,
ireland,
loves,7.84
no,3.34
needle,
but,4.66
it,5.46
s,5.02
a,5.26
six,
nations,
soap,
farrell,
could,5.66
do,5.66
without,3.84
this,5.38
city,6.62
shows,
up,6.08
cleveland,
heights,
celebrates,
laila,
edwards,
s,5.02
historic,
olympic,
gold,7.26
clapping,
skis,
to,4.84
the,5.2
pulpy,
thrash,
of,4.82
poles,
the,5.2
winter,
olympics,
are,5.46
an,5.08
asmr,
wonderland,
winter,
olympics,
briefing,
the,5.2
need,5.44
for,5.32
speed,6.58
and,5.4
a,5.26
glut,
of,4.82
skating,
records,
sports,
quiz,
of,4.82
the,5.2
week,6.16
fa,5.46
cup,
winter,
olympics,
and,5.4
hollywood,
legends,
world,6.84
super,7.26
guide,
india,6.1
still,5.38
team,6.4
to,4.84
beat,
but,4.66
curran,
can,5.92
inspire,
england,
chess,
magnus,
carlsen,
wins,
yet,
again,5.72
while,5.34
british,
championship,
prize,
fund,
soars,
domenicali,
pleads,
for,5.32
calm,
over,4.2
fears,
new,7.06
rules,
will,6.18
wreck,
formula,5.72
one,5.8
world,6.84
club,6.44
challenge,
fightback,
falls,
short,
as,5.2
broncos,
get,6.0
glimpse,
of,4.82
uncertain,
nrl,
season,
ahead,
john,5.88
davidson,
that,5.34
was,4.84
fun,7.76
keely,
hodgkinson,
smashes,
world,6.84
record,6.42
set,5.66
on,6.1
day,6.48
she,6.18
was,4.84
born,6.54
alysa,
liu,
wins,
winter,
olympics,
gold,7.26
to,4.84
end,4.08
us,5.94
women,
s,5.02
year,6.24
figure,
skating,
drought,
winter,
olympics,
gb,5.02
men,6.34
win,7.6
curling,
semi,
final,5.22
and,5.4
alysa,
liu,
s,5.02
skating,
gold,7.26
as,5.2
it,5.46
happened,
britain,
s,5.02
curlers,
guarantee,
a,5.26
medal,
as,5.2
mouat,
holds,
his,5.32
nerve,
against,
swiss,
hull,
kr,
on,6.1
top,6.44
of,4.82
the,5.2
world,6.84
after,5.4
resisting,
thrilling,
brisbane,
fightback,
usa,5.62
roar,
back,4.84
from,5.66
brink,
to,4.84
beat,
canada,7.1
in,5.76
overtime,
and,5.4
claim,
olympic,
women,
s,5.02
ice,
hockey,
gold,7.26
winter,
olympics,
women,
s,5.02
ice,
hockey,
final,5.22
usa,5.62
beat,
canada,7.1
in,5.76
overtime,
as,5.2
it,5.46
happened,
itoje,
warns,
against,
corrosive,
social,6.7
media,6.0
after,5.4
racist,
abuse,
of,4.82
edogbo,
jordan,
stolz,
s,5.02
bid,
for,5.32
four,
speed,6.58
skating,
golds,
crumbles,
in,5.76
as,5.2
ning,
zhongyan,
shines,
an,5.08
olympic,
miracle,
twist,
in,5.76
conan,
doyle,
s,5.02
skimo,
tale,
as,5.2
russian,
snares,
silver,
townsend,
calls,
for,5.32
kinghorn,
and,5.4
van,5.76
der,5.1
merwe,
to,4.84
show,7.26
huge,
determination,
against,
wales,
australia,6.76
beat,
india,6.1
by,5.28
runs,
in,5.76
second,
women,
s,5.02
international,7.08
as,5.2
it,5.46
happened,
i,5.12
went,
back,4.84
to,4.84
my,5.98
alma,7.12
mater,
and,5.4
saw,4.68
how,5.64
women,
s,5.02
sports,
have,6.12
changed,
winter,
olympics,
briefing,
shiffrin,
s,5.02
sublime,
showing,
delivers,
release,
of,4.82
emotion,
power,6.94
points,
scrum,
battle,
could,5.66
be,5.66
crucial,
in,5.76
england,
v,4.92
ireland,
clash,
