"Rank","Word","Word in English","Happiness Score","Standard Deviation of Ratings"
"1403","escritor","writer","6.92","1.4119"
"1404","electrónicos","electronic","6.92","1.3974"
"1405","novedades","News","6.92","1.1753"
"1406","lograron","managed","6.92","1.14"
"1407","wish","wish","6.92","1.2262"
"1408","vivimos","live","6.92","1.2911"
"1409","homenaje","tribute","6.92","1.2095"
"1410","mua","mua","6.92","1.664"
"1411","diez","ten","6.92","1.4824"
"1412","dollars","dollars","6.92","1.4824"
"1413","quiere","wants","6.92","1.3974"
"1414","cerebro","brain","6.92","1.5097"
"1415","importancia","importance","6.92","1.3377"
"1416","first","first","6.92","1.5365"
"1417","afirmación","assertion","6.9","1.2657"
"1418","pintura","painting","6.9","1.359"
"1419","mucho","much","6.9","1.165"
"1420","orgánica","organic","6.9","1.0738"
"1421","ingenieros","engineers","6.9","1.6812"
"1422","bieen","bieen","6.9","1.669"
"1423","crece","grows","6.9","1.2976"
"1424","maya","Maya","6.9","1.5811"
"1425","entrenamiento","training","6.9","1.2164"
"1426","porvenir","future","6.9","1.2495"
"1427","muchísimas","many","6.9","1.2164"
"1428","mejora","improvement","6.9","1.2495"
"1429","hispano","Hispanic","6.9","1.5551"
"1430","efectiva","effective","6.9","1.233"
"1431","concurso","contest","6.9","0.9091"
"1432","opinar","say","6.9","1.1824"
"1433","limpia","cleaning","6.9","1.5811"
"1434","organizada","organized","6.9","1.1824"
"1435","deportivas","Sports","6.9","1.165"
"1436","estima","esteem","6.9","1.2495"
"1437","equilibrio","balance","6.9","1.2164"
"1438","jeje","hehe","6.9","1.0926"
"1439","volkswagen","volkswagen","6.9","1.3439"
"1440","dedicado","dedicated","6.9","1.0152"
"1441","reconocido","accepted","6.9","1.2817"
"1442","baratos","Cheap","6.9","1.4604"
"1443","twitteando","Tweeting","6.9","1.4178"
"1444","almas","souls","6.9","1.4033"
"1445","londres","London","6.9","1.6067"
"1446","vestido","dress","6.9","1.4033"
"1447","inolvidable","unforgettable","6.9","1.4321"
"1448","poderoso","powerful","6.9","1.7525"
"1449","yourself","yourself","6.9","1.4604"
"1450","segura","safe","6.9","1.1824"
"1451","espirituales","spiritual","6.9","1.4743"
"1452","california","California","6.9","1.4321"
"1453","modernidad","modernity","6.9","1.3132"
"1454","diversidad","diversity","6.9","1.2495"
"1455","tranquila","quiet","6.9","1.1112"
"1456","certeza","certainty","6.9","1.2164"
"1457","personalidad","personality","6.9","1.1473"
"1458","always","always","6.9","1.2817"
"1459","trascendencia","transcendence","6.9","1.3286"
"1460","deportivo","sports","6.9","1.3887"
"1461","ilusión","delusion","6.88","1.8366"
"1462","famosas","famous","6.88","1.7454"
"1463","oportuno","timely","6.88","1.3192"
"1464","ser","be","6.88","1.272"
"1465","solución","solution","6.88","1.2879"
"1466","pintor","painter","6.88","1.0812"
"1467","desarrollados","developed","6.88","1.1718"
"1468","efectivamente","really","6.88","1.2229"
"1469","electrónica","electronics","6.88","1.272"
"1470","cosita","thingy","6.88","1.3037"
"1471","face","face","6.88","1.2558"
"1472","muñeca","wrist","6.88","1.3498"
"1473","primero","first","6.88","1.4658"
"1474","comí","ate","6.88","0.9823"
"1475","celular","cellular","6.88","1.3346"
"1476","wireless","Wireless","6.88","1.3944"
"1477","mago","magician","6.88","1.4518"
"1478","vital","vital","6.88","1.2395"
"1479","acompañado","accompanied","6.88","1.1364"
"1480","hehehe","hehehe","6.88","1.3797"
"1481","pagado","paid","6.88","1.409"
"1482","ipod","ipod","6.88","1.6368"
"1483","easy","easy","6.88","1.507"
"1484","efectivo","cash","6.88","1.2879"
"1485","voluntarios","volunteers","6.88","1.0428"
"1486","duermo","sleep","6.88","1.1718"
"1487","justa","fair","6.88","1.1183"
"1488","skype","skype","6.88","1.3797"
"1489","casas","housing","6.88","1.2879"
"1490","bibliotecas","libraries","6.88","1.272"
"1491","discos","discs","6.88","1.409"
"1492","entendí","understood","6.88","1.0622"
"1493","open","open","6.88","1.1542"
"1494","certificación","certification","6.88","1.4234"
"1495","francesa","French","6.88","1.5205"
"1496","alternativas","alternatives","6.88","1.0999"
"1497","favorited","favorited","6.88","1.5862"
"1498","queriendo","wanting","6.88","1.2879"
"1499","caminar","walk","6.88","1.1718"
"1500","europeas","European","6.88","1.3797"
"1501","isla","island","6.88","1.409"
"1502","ilustración","illustration","6.88","1.1364"
"1503","costumbres","manners","6.88","1.1542"
"1504","galerías","galleries","6.88","1.2879"
"1505","exactamente","exactly","6.88","1.272"
"1506","comprender","understand","6.86","1.1068"
"1507","azules","Blue","6.86","1.3403"
"1508","#newyears","# Newyears","6.86","1.9274"
"1509","portátil","portable","6.86","1.05"
"1510","corona","crown","6.86","1.738"
"1511","ayude","help","6.86","1.4144"
"1512","aprende","learn","6.86","1.3704"
"1513","tokio","tokyo","6.86","1.4709"
"1514","eterno","eternal","6.86","1.6414"
"1515","jesus","jesus","6.86","1.9484"
"1516","navegar","surf","6.86","1.3704"
"1517","carrera","career","6.86","1.2938"
"1518","privilegios","privileges","6.86","1.325"
"1519","convicción","conviction","6.86","1.4429"
"1520","popular","popular","6.86","1.3554"
"1521","tío","uncle","6.86","1.1782"
"1522","ilustre","illustrious","6.86","1.0104"
"1523","everyone","everyone","6.86","1.3403"
"1524","encontré","found","6.86","1.2618"
"1525","continuidad","continuity","6.86","1.1782"
"1526","deportivos","sports","6.86","1.2291"
"1527","derechos","duty","6.86","1.3704"
"1528","brasil","Brazil","6.86","1.4287"
"1529","master","master's degree","6.86","1.457"
"1530","científicos","Scientists","6.86","1.2938"
"1531","ventaja","advantage","6.86","1.2618"
"1532","cosecha","harvest","6.86","1.2456"
"1533","lana","wool","6.86","1.4984"
"1534","noche","night","6.86","1.3403"
"1535","vivan","live","6.86","1.512"
"1536","pienso","feed","6.86","1.2291"
"1537","productiva","productive","6.86","1.3554"
"1538","autos","cars","6.86","1.2618"
"1539","cámara","camera","6.86","1.3999"
"1540","mp4","mp4","6.86","1.3852"
"1541","correr","run","6.86","1.2938"
"1542","enseña","teaches","6.86","1.125"
"1543","cuida","care","6.86","1.1954"
"1544","promesa","promise","6.86","1.0104"
"1545","jaaa","jaaa","6.86","1.5651"
"1546","filosofía","philosophy","6.84","1.6081"
"1547","estudio","study","6.84","1.2014"
"1548","aeropuerto","airport","6.84","1.0947"
"1549","beber","drink","6.84","1.6458"
"1550","mÁs","more","6.84","1.4758"
"1551","pc","pc","6.84","1.2993"
"1552","muack","muack","6.84","1.6826"
"1553","recibir","receive","6.84","1.2675"
"1554","baloncesto","basketball","6.84","1.3756"
"1555","ejercicios","training","6.84","1.2349"
"1556","peli","movie","6.84","1.4049"
"1557","bahía","bay","6.84","1.3303"
"1558","mia","mia","6.84","1.2182"
"1559","negocio","deal","6.84","1.5167"
"1560","tengo","I have","6.84","1.1843"
"1561","carreras","racing","6.84","1.2835"
"1562","curiosidades","curiosities","6.84","1.1493"
"1563","visitantes","visitors","6.84","1.1493"
"1564","lectura","reading","6.84","1.5434"
"1565","caridad","charity","6.84","1.5696"
"1566","crea","creates","6.84","1.1669"
"1567","verdes","green","6.84","1.1669"
"1568","ilusiones","delusions","6.84","1.4049"
"1569","retrato","portrait","6.84","1.1843"
"1570","leemos","read","6.84","1.3456"
"1571","deportiva","Sports","6.84","1.2835"
"1572","acostar","lay down","6.84","1.1843"
"1573","fuertes","strong","6.84","1.4337"
"1574","internacionales","international","6.84","1.2349"
"1575","donaciones","donations","6.84","1.3756"
"1576","okay","okay","6.84","1.4619"
"1577","world","world","6.84","1.3456"
"1578","conversación","conversation","6.84","1.0373"
"1579","proposito","purpose","6.84","1.4758"
"1580","gift","gift","6.84","1.7066"
"1581","coches","Car","6.84","1.3456"
"1582","dormí","slept","6.84","1.4896"
"1583","renovación","renewal","6.84","1.2349"
"1584","oaxaca","oaxaca","6.84","1.2993"
"1585","oferta","offer","6.84","1.3456"
"1586","orgulloso","proud","6.84","1.5954"
"1587","algodón","cotton","6.84","1.2675"
"1588","válidos","valid","6.84","1.0759"
"1589","sobrio","sober","6.84","1.3456"
"1590","listo","ready","6.84","1.2349"
"1591","historias","stories","6.82","1.4941"
"1592","player","player","6.82","1.5077"
"1593","vibra","vibrates","6.82","1.2887"
"1594","conocer","know","6.82","1.2403"
"1595","verde","green","6.82","1.3805"
"1596","facebook","facebook","6.82","1.7577"
"1597","mundial","world","6.82","1.2887"
"1598","ordenado","ordered","6.82","1.207"
"1599","mayas","Maya","6.82","1.3045"
"1600","mp3","mp3","6.82","1.4803"
"1601","exacto","exact","6.82","1.2403"
"1602","miami","miami","6.82","1.6249"
"1603","unico","only","6.82","1.2887"
"1604","palacios","palaces","6.82","1.4384"
"1605","momentos","moments","6.82","1.1551"
"1606","viven","live","6.82","1.2887"
"1607","gustaría","like","6.82","1.2887"
"1608","maíz","corn","6.82","1.3045"
"1609","curiosidad","curiosity","6.82","1.3045"
"1610","ligar","bind","6.82","1.2728"
"1611","e-mail","e-mail","6.82","1.1899"
"1612","todo","everything","6.82","1.2567"
"1613","rápido","fast","6.82","1.1726"
"1614","competente","competent","6.82","1.3045"
"1615","adoptar","adopt","6.82","1.1373"
"1616","profesiones","professions","6.82","1.2567"
"1617","fuerzas","forces","6.82","1.4525"
"1618","memoria","memory","6.82","1.2887"
"1619","vencer","overcome","6.82","1.746"
"1620","perla","pearl","6.82","1.3805"
"1621","tecnologías","technologies","6.82","1.3805"
"1622","digital","digital","6.82","1.2403"
"1623","espíritu","spirit","6.82","1.3354"
"1624","creador","creator","6.82","1.7343"
"1625","light","light","6.82","1.5211"
"1626","realizado","realized","6.82","1.1726"
"1627","perrita","dog","6.82","1.9866"
"1628","realizarse","performed","6.82","1.3506"
"1629","celulares","cell","6.82","1.3045"
"1630","bendiga","bless","6.82","1.6249"
"1631","inbox","inbox","6.82","1.2237"
"1632","escuchar","listen","6.82","0.9624"
"1633","trabajador","employee","6.8","1.3553"
"1634","independientes","independent","6.8","1.5386"
"1635","enciclopedia","encyclopedia","6.8","1.2289"
"1636","versos","verses","6.8","1.1952"
"1637","estética","aesthetics","6.8","1.4428"
"1638","totalmente","completely","6.8","1.2778"
"1639","conocidos","known","6.8","1.1429"
"1640","liked","liked","6.8","1.1249"
"1641","imágenes","imagery","6.8","1.4708"
"1642","precisión","precision","6.8","1.1606"
"1643","horizonte","horizon","6.8","1.4142"
"1644","acostado","lying","6.8","1.2936"
"1645","entendimiento","understanding","6.8","0.9035"
"1646","comen","eat","6.8","1.178"
"1647","cartelera","billboard","6.8","1.1429"
"1648","nubes","clouds","6.8","1.5908"
"1649","recordar","remember","6.8","1.1066"
"1650","rio","rio","6.8","1.1606"
"1651","fe","faith","6.8","1.7023"
"1652","reales","real","6.8","1.2778"
"1653","ficción","fiction","6.8","1.4428"
"1654","verdades","truths","6.8","1.4286"
"1655","iluminación","lighting","6.8","1.3401"
"1656","funcional","functional","6.8","1.1606"
"1657","respuesta","reply","6.8","1.1066"
"1658","sueldos","Salaries","6.8","1.7379"
"1659","mío","mine","6.8","1.2289"
"1660","seguro","insurance","6.8","1.1429"
"1661","alternativa","alternative","6.8","1.069"
"1662","memorias","memoirs","6.8","1.3248"
"1663","lluvia","rain","6.8","1.4286"
"1664","avanzada","Advanced","6.8","1.3553"
"1665","sostenible","sustainable","6.8","1.3401"
"1666","bicis","Bikes","6.8","1.2778"
"1667","protagonista","protagonist","6.8","1.2778"
"1668","alcanzó","reached","6.8","1.2454"
"1669","sobrina","niece","6.8","1.3851"
"1670","digitales","Digital","6.8","1.3093"
"1671","avances","advances","6.8","1.1952"
"1672","1ero","1st","6.8","1.9588"
"1673","vigor","vigor","6.8","1.4983"
"1674","parientes","kin","6.8","1.3093"
"1675","ambientales","environmental","6.8","1.4708"
"1676","humanas","human","6.8","1.1066"
"1677","muchisimas","very many","6.8","1.4428"
"1678","compromiso","commitment","6.8","1.7843"
"1679","deseando","forward","6.8","1.2617"
"1680","quebec","quebec","6.8","1.7613"
"1681","económico","economic","6.8","1.2454"
"1682","estudios","studies","6.8","1.4142"
"1683","leídos","read","6.8","1.2778"
"1684","buenoo","buenoo","6.8","1.6288"
"1685","interesa","interested","6.8","1.3401"
"1686","galeria","gallery","6.78","1.2824"
"1687","inglaterra","England","6.78","1.6073"
"1688","recuperación","recovery","6.78","1.4748"
"1689","vista","view","6.78","1.2337"
"1690","lyrics","lyrics","6.78","1.1301"
"1691","célebre","famous","6.78","1.2501"
"1692","plena","full","6.78","1.4184"
"1693","primos","cousins","6.78","1.2002"
"1694","participación","participation","6.78","1.2171"
"1695","disponibilidad","availability","6.78","1.2501"
"1696","televisión","TV","6.78","1.6817"
"1697","naranja","orange","6.78","1.2501"
"1698","salu2","salu2","6.78","1.8327"
"1699","claramente","clearly","6.78","1.148"
"1700","visitas","views","6.78","1.1301"
"1701","guadalajara","london","6.78","1.3596"
"1702","manchester","Manchester","6.78","1.5817"
"1703","yahoo","yahoo","6.78","1.5945"
"1704","viviendo","living","6.78","1.3138"
"1705","maestro","teacher","6.78","1.2982"
"1706","grecia","Greece","6.78","1.3746"
"1707","año♥","year ♥","6.78","1.5556"
"1708","completas","complete","6.78","1.3138"
"1709","desarrollar","develop","6.78","1.2171"
"1710","mirada","look","6.78","1.2664"
"1711","respira","breathe","6.78","1.3596"
"1712","sexual","sexual","6.78","1.6449"
"1713","accesibilidad","accessibility","6.78","1.2171"
"1714","unidas","together","6.78","1.2002"
"1715","queremos","we","6.78","1.2337"
"1716","porfavor","please","6.78","1.6938"
"1717","facilitar","facilitate","6.78","1.016"
"1718","compu","compu","6.78","1.3138"
"1719","estímulo","stimulus","6.78","1.2501"
"1720","activa","active","6.78","1.1301"
"1721","filosófica","philosophical","6.78","1.2664"
"1722","iniciativa","initiative","6.78","1.2337"
"1723","ps3","ps3","6.78","1.7646"
"1724","florida","Florida","6.78","1.3596"
"1725","información","information","6.78","1.3893"
"1726","madurar","mature","6.78","1.2501"
"1727","estilo","style","6.78","1.2171"
"1728","cumplir","comply","6.78","1.4327"
"1729","especialistas","specialists","6.78","1.2002"
"1730","principios","beginning","6.78","1.3138"
"1731","completos","complete","6.76","1.135"
"1732","iniciativas","initiatives","6.76","1.1877"
"1733","encontrarse","be","6.76","1.2707"
"1734","dear","dear","6.76","1.3786"
"1735","understand","understand","6.76","1.2216"
"1736","título","title","6.76","1.2867"
"1737","resolver","resolve","6.76","1.2707"
"1738","casará","marry","6.76","1.2867"
"1739","mensajes","posts","6.76","1.135"
"1740","encontre","I found","6.76","1.2382"
"1741","perdonar","forgive","6.76","1.6728"
"1742","europea","European","6.76","1.3486"
"1743","notable","notable","6.76","1.2545"
"1744","aliados","allies","6.76","1.1704"
"1745","comi","ate","6.76","1.3637"
"1746","compra","purchase","6.76","1.4078"
"1747","hotels","hotels","6.76","1.2867"
"1748","infantiles","Children","6.76","1.4507"
"1749","#flan","# Pudding","6.76","1.5722"
"1750","tradiciones","traditions","6.76","1.2382"
"1751","esencia","essence","6.76","1.2382"
"1752","lecturas","readings","6.76","1.1528"
"1753","hehe","hehe","6.76","1.318"
"1754","barco","boat","6.76","1.1877"
"1755","legítimo","legitimate","6.76","1.1168"
"1756","máxima","maxim","6.76","1.3933"
"1757","portátiles","portable","6.76","1.2867"
"1758","inversión","investment","6.76","1.7209"
"1759","filósofo","philosopher","6.76","1.3024"
"1760","retos","challenges","6.76","1.5592"
"1761","propio","own","6.76","1.0012"
"1762","australia","Australia","6.76","1.5059"
"1763","prima","premium","6.76","1.1877"
"1764","leí","read","6.76","1.2216"
"1765","famosos","famous","6.76","1.3933"
"1766","creadores","creators","6.76","1.4078"
"1767","duerma","sleep","6.76","1.2216"
"1768","arroz","rice","6.76","1.1877"
"1769","cámaras","cameras","6.76","1.3024"
"1770","tíos","uncles","6.76","1.0797"
"1771","siempre","always","6.76","1.4078"
"1772","entender","understand","6.76","1.1528"
"1773","sexuales","sex","6.76","1.5194"
"1774","cuidate","take care","6.76","1.3933"
"1775","bendito","blessed","6.76","2.026"
"1776","garantía","warranty","6.76","1.2707"
"1777","expresiones","expressions","6.76","1.2545"
"1778","consolas","consoles","6.76","1.3786"
"1779","afirmar","say","6.76","1.3024"
"1780","shop","shop","6.76","1.1877"
"1781","intentarlo","try","6.74","1.192"
"1782","primito","cousin","6.74","1.482"
"1783","mio","mio","6.74","1.3674"
"1784","ropa","clothing","6.74","1.2257"
"1785","caballos","horses","6.74","1.1214"
"1786","primas","raw","6.74","1.2257"
"1787","come","eat","6.74","1.209"
"1788","everywhere","everywhere","6.74","1.3372"
"1789","downloads","downloads","6.74","1.3219"
"1790","completa","Full","6.74","1.2423"
"1791","imagenes","images","6.74","1.2586"
"1792","único","only","6.74","1.2423"
"1793","apple","apple","6.74","1.4401"
"1794","firefox","firefox","6.74","1.3822"
"1795","modernización","modernization","6.74","1.7001"
"1796","hotmail","hotmail","6.74","1.3822"
"1797","destino","destination","6.74","1.2257"
"1798","sonidos","sounds","6.74","1.3524"
"1799","fuente","source","6.74","1.1395"
"1800","vestidos","clothes","6.74","1.4682"
"1801","tocar","touch","6.74","1.3524"
"1802","contemporáneo","contemporary","6.74","1.0654"
"1803","encontrar","find","6.74","1.0844"
"1804","chat","chat","6.74","1.4115"
"1805","agusto","agusto","6.74","1.6389"
"1806","story","story","6.74","1.2586"
"1807","documentales","documentaries","6.74","1.4115"
"1808","consciente","conscious","6.74","1.209"
"1809","performance","performance","6.74","1.3524"
"1810","computación","computing","6.74","1.2747"
"1811","lógico","logical","6.74","1.2747"
"1812","adopción","adoption","6.74","1.4115"
"1813","global","global","6.74","1.3969"
"1814","gran","great","6.74","1.0654"
"1815","onda","wave","6.74","1.192"
"1816","gustaria","like","6.74","1.3674"
"1817","determinación","determination","6.74","1.3372"
"1818","destaca","highlights","6.74","1.1572"
"1819","literario","literary","6.74","1.3219"
"1820","profesión","profession","6.74","1.1395"
"1821","movilidad","mobility","6.74","1.2747"
"1822","nuevooo","nuevooo","6.74","1.8495"
"1823","reproductor","reproductive","6.74","1.2257"
"1824","tradición","tradition","6.74","1.4682"
"1825","amplio","wide","6.74","1.3372"
"1826","primita","cousin","6.74","1.4259"
"1827","car","car","6.74","1.3674"
"1828","neuronas","neurons","6.74","1.3969"
"1829","leyenda","legend","6.74","1.3063"
"1830","eyes","eyes","6.74","1.2747"
"1831","comprensión","understanding","6.74","1.1214"
"1832","sip","sip","6.74","1.4542"
"1833","puedo","I can","6.74","1.192"
"1834","muchooo","muchooo","6.74","1.6264"
"1835","suiza","Switzerland","6.74","1.4115"
"1836","concursos","contests","6.74","1.3969"
"1837","recuperar","recover","6.74","1.209"
"1838","primo","cousin","6.72","1.1073"
"1839","album","Album","6.72","1.2129"
"1840","pijama","pajamas","6.72","1.4852"
"1841","arroyo","stream","6.72","1.3856"
"1842","alta","high","6.72","1.2623"
"1843","piensan","think","6.72","1.0698"
"1844","apetece","fancy","6.72","0.9485"
"1845","lees","read","6.72","1.2461"
"1846","encontrado","found","6.72","1.2461"
"1847","design","design","6.72","1.4148"
"1848","herederos","heirs","6.72","1.3856"
"1849","desarrollado","developed","6.72","1.3708"
"1850","download","download","6.72","1.2461"
"1851","ajaj","ajaj","6.72","1.8299"
"1852","development","development","6.72","1.3559"
"1853","rosa","pink","6.72","1.4574"
"1854","mega","mega","6.72","1.3856"
"1855","curioso","curious","6.72","0.9906"
"1856","facultad","faculty","6.72","1.4852"
"1857","roma","Rome","6.72","1.4434"
"1858","eventos","events","6.72","1.4574"
"1859","dispuesto","ready","6.72","1.2784"
"1860","dormido","asleep","6.72","1.7384"
"1861","diseños","designs","6.72","0.9485"
"1862","avance","advance","6.72","1.1073"
"1863","llegaste","came","6.72","1.3407"
"1864","primera","first","6.72","1.2623"
"1865","considerado","considered","6.72","1.1436"
"1866","green","green","6.72","1.2296"
"1867","sigueme","follow me","6.72","1.2296"
"1868","rumba","rumba","6.72","1.2461"
"1869","producir","produce","6.72","1.2784"
"1870","avatar","avatar","6.72","1.3559"
"1871","visita","visit","6.72","0.9906"
"1872","participa","participates","6.72","1.0887"
"1873","visión","view","6.72","1.1256"
"1874","distinguido","distinguished","6.72","1.2623"
"1875","rescate","rescue","6.72","1.5391"
"1876","contratar","hire","6.72","1.3407"
"1877","feel","feel","6.72","1.4852"
"1878","arreglar","fix","6.72","1.2623"
"1879","aprovecha","advantage","6.72","1.1787"
"1880","modelo","model","6.72","1.2296"
"1881","eterna","eternal","6.72","1.6542"
"1882","antropología","anthropology","6.72","1.3856"
"1883","motos","motorcycles","6.72","1.5913"
"1884","documental","documentary","6.72","1.3708"
"1885","mil","thousand","6.72","1.2623"
"1886","primeros","first","6.72","1.2623"
"1887","válido","valid","6.7","1.1294"
"1888","fomentar","foster","6.7","1.1473"
"1889","actividad","activity","6.7","1.1824"
"1890","moneda","currency","6.7","1.4743"
"1891","fresa","strawberry","6.7","1.7525"
"1892","realizar","perform","6.7","1.165"
"1893","superior","top","6.7","1.4033"
"1894","actual","present","6.7","1.1995"
"1895","potencia","power","6.7","1.3887"
"1896","park","park","6.7","1.4743"
"1897","ella","she","6.7","1.4463"
"1898","manualidades","Crafts","6.7","1.2817"
"1899","educativas","educational","6.7","1.1112"
"1900","creer","believe","6.7","1.1473"
"1901","realizados","made","6.7","1.2817"
"1902","exactitud","correctness","6.7","1.3132"
"1903","email","email","6.7","1.233"
"1904","conciencia","awareness","6.7","1.374"
"1905","sopa","soup","6.7","1.1112"
"1906","ambiente","environment","6.7","1.3439"
"1907","capacidad","capacity","6.7","1.0738"
"1908","capaces","able","6.7","1.3439"
"1909","tecnológico","technological","6.7","1.4604"
"1910","twittear","tweet","6.7","1.669"
"1911","traducciones","translations","6.7","1.165"
"1912","conectado","connected","6.7","1.0738"
"1913","masters","Masters","6.7","1.374"
"1914","leido","read","6.7","1.2657"
"1915","entiendo","understand","6.7","1.2495"
"1916","consejo","advice","6.7","1.1112"
"1917","honra","honor","6.7","1.632"
"1918","soltero","single","6.7","1.669"
"1919","euro","euro","6.7","1.2657"
"1920","proud","proud","6.7","1.6568"
"1921","convencido","convinced","6.7","1.1995"
"1922","humanidades","humanities","6.7","1.2657"
"1923","constante","constant","6.7","1.1112"
"1924","residencial","residential","6.7","1.1995"
"1925","bravo","brave","6.7","1.4463"
"1926","star","star","6.7","1.6067"
"1927","video","video","6.7","1.1995"
"1928","seno","breast","6.7","1.3887"
"1929","consejos","tips","6.7","1.1294"
"1930","bluetooth","bluetooth","6.7","1.3286"
"1931","científico","scientific","6.7","1.6194"
"1932","animal","animal","6.7","1.6194"
"1933","aeropuertos","airports","6.7","1.8544"
"1934","visitar","visit","6.7","1.1112"
"1935","acceder","log in","6.7","1.3132"
"1936","feeling","feeling","6.7","1.6444"
"1937","contactos","contacts","6.7","1.2657"
"1938","creación","creation","6.7","1.165"
"1939","podré","I can","6.7","1.3439"
"1940","humana","human","6.7","1.2164"
"1941","colabora","collaborates","6.7","1.0926"
"1942","social","social","6.7","1.2976"
"1943","extranjero","foreign","6.7","1.4033"
"1944","alianza","alliance","6.7","1.3132"
"1945","web","web","6.68","1.2196"
"1946","abierto","open","6.68","1.3161"
"1947","quieres","want","6.68","1.2688"
"1948","bed","bed","6.68","1.2848"
"1949","messenger","messenger","6.68","1.5043"
"1950","países","countries","6.68","1.463"
"1951","photoshop","photoshop","6.68","1.5312"
"1952","corre","runs","6.68","1.2196"
"1953","cooperación","cooperation","6.68","1.2362"
"1954","cumplen","meet","6.68","1.0583"
"1955","hoteles","hotels","6.68","1.2688"
"1956","vibras","vibes","6.68","1.2688"
"1957","posibilidad","possibility","6.68","1.1328"
"1958","sentir","feel","6.68","1.4769"
"1959","entenderse","be understood","6.68","1.1147"
"1960","orígenes","beginning","6.68","1.3915"
"1961","ingles","English","6.68","1.5706"
"1962","wallpapers","wallpapers","6.68","1.3316"
"1963","integración","integration","6.68","1.0962"
"1964","resuelta","resolved","6.68","1.2688"
"1965","ingeniero","engineer","6.68","1.5312"
"1966","escucha","listening","6.68","1.1507"
"1967","literarias","literary","6.68","1.3005"
"1968","cuerpo","body","6.68","1.3161"
"1969","puramente","purely","6.68","1.1147"
"1970","llegó","came","6.68","1.3619"
"1971","confirmado","confirmed","6.68","1.2196"
"1972","river","river","6.68","1.463"
"1973","rápida","Fast","6.68","1.1147"
"1974","rapido","fast","6.68","1.1507"
"1975","¿quieres","Would you","6.68","1.2848"
"1976","más","more","6.68","1.1683"
"1977","actuar","act","6.68","1.2362"
"1978","nieto","grandson","6.68","1.6468"
"1979","chingon","chingon","6.68","2.4112"
"1980","reunidos","gathered","6.68","1.2362"
"1981","inmenso","immense","6.68","1.449"
"1982","diálogo","dialogue","6.68","1.1328"
"1983","evento","event","6.68","1.3316"
"1984","Ձ01Ձ","Ձ 01 Ձ","6.66","1.4373"
"1985","espacio","space","6.66","1.3188"
"1986","intercambio","exchange","6.66","1.2875"
"1987","intensidad","intensity","6.66","1.3644"
"1988","propuestas","proposals","6.66","1.2224"
"1989","cita","quote","6.66","1.394"
"1990","berlin","berlin","6.66","1.6734"
"1991","big","big","6.66","1.3793"
"1992","japon","japan","6.66","1.5201"
"1993","france","france","6.66","1.3494"
"1994","crecí","I grew","6.66","1.1178"
"1995","provecho","advantage","6.66","1.0224"
"1996","autorizado","authorized","6.66","1.423"
"1997","quijote","Quixote","6.66","1.3793"
"1998","encuentros","encounters","6.66","1.1713"
"1999","azul","blue","6.66","1.3342"
"2000","nace","born","6.66","1.1713"
"2001","actualización","update","6.66","1.1886"
"2002","business","business","6.66","1.5334"
"2003","castellano","Castilian","6.66","1.2224"
"2004","compa","com","6.66","1.5858"
"2005","trabajadores","workers","6.66","1.1886"
"2006","terraza","terrace","6.66","1.2554"
"2007","invito","invite","6.66","1.0616"
"2008","costas","coasts","6.66","1.6364"
"2009","adecuada","adequate","6.66","1.0616"
"2010","utilidades","utilities","6.66","1.5066"
"2011","tango","tango","6.66","1.1537"
"2012","río","river","6.66","1.4792"
"2013","colaboración","collaboration","6.66","1.423"
"2014","clientes","customers","6.66","1.1713"
"2015","completamente","completely","6.66","1.3494"
"2016","dólar","dollar","6.66","1.5858"
"2017","escuchado","heard","6.66","1.3032"
"2018","especialmente","especially","6.66","1.3494"
"2019","siente","feel","6.66","1.2224"
"2020","precisa","accurate","6.66","1.2056"
"2021","apartamento","apartment","6.66","1.493"
"2022","suecia","Sweden","6.66","1.3644"
"2023","logrado","achieved","6.66","1.6364"
"2024","mtv","mtv","6.66","1.6734"
"2025","verme","me","6.66","1.1886"
"2026","acuerdos","agreements","6.66","1.4654"
"2027","histórico","historical","6.66","1.394"
"2028","entienden","understand","6.66","1.2224"
"2029","observar","observe","6.66","1.1713"
"2030","ejemplar","exemplary","6.64","1.3516"
"2031","día","day","6.64","1.2415"
"2032","utilidad","utility","6.64","1.2578"
"2033","irlanda","Ireland","6.64","1.495"
"2034","fan","fan","6.64","1.495"
"2035","lectores","audience","6.64","1.2898"
"2036","chiapas","chiapas","6.64","1.6132"
"2037","conseguido","acquired","6.64","1.3516"
"2038","paciencia","patience","6.64","1.77"
"2039","lista","list","6.64","1.4394"
"2040","visual","visual","6.64","1.1739"
"2041","puerto","port","6.64","1.3211"
"2042","académicos","academic","6.64","1.4535"
"2043","habitación","room","6.64","1.1386"
"2044","holanda","Holland","6.64","1.4535"
"2045","sony","sony","6.64","1.2898"
"2046","noviembre","November","6.64","1.5086"
"2047","escuchando","listening","6.64","1.0835"
"2048","restauración","restoration","6.64","1.1739"
"2049","francés","French","6.64","1.3365"
"2050","conservación","conservation","6.64","0.9205"
"2051","cocina","kitchen","6.64","1.5748"
"2052","quieren","want","6.64","1.3056"
"2053","vuelos","flights","6.64","1.1205"
"2054","actriz","actress","6.64","1.0835"
"2055","dragon","dragon","6.64","1.663"
"2056","honored","honored","6.64","1.6753"
